anime title,anime link,type,anime runtime,members
Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,804,510 members"
Death Note,https://myanimelist.net/anime/1535/Death_Note,TV (37 eps),Oct 2006 - Jun 2007,"3,772,263 members"
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,227,117 members"
One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man,TV (12 eps),Oct 2015 - Dec 2015,"3,107,504 members"
Sword Art Online,https://myanimelist.net/anime/11757/Sword_Art_Online,TV (25 eps),Jul 2012 - Dec 2012,"2,988,971 members"
Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,TV (13 eps),Apr 2016 - Jun 2016,"2,926,309 members"
Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,881,907 members"
Naruto,https://myanimelist.net/anime/20/Naruto,TV (220 eps),Oct 2002 - Feb 2007,"2,761,255 members"
Tokyo Ghoul,https://myanimelist.net/anime/22319/Tokyo_Ghoul,TV (12 eps),Jul 2014 - Sep 2014,"2,736,830 members"
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV (148 eps),Oct 2011 - Sep 2014,"2,709,777 members"
Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Movie (1 eps),Aug 2016 - Aug 2016,"2,643,112 members"
Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,TV (12 eps),Apr 2017 - Jun 2017,"2,612,564 members"
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,480,203 members"
Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,TV (25 eps),Apr 2017 - Sep 2017,"2,445,339 members"
Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV (500 eps),Feb 2007 - Mar 2017,"2,392,673 members"
Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,340,272 members"
No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life,TV (12 eps),Apr 2014 - Jun 2014,"2,334,245 members"
Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,TV (12 eps),Jul 2018 - Oct 2018,"2,258,266 members"
Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,235,722 members"
One Piece,https://myanimelist.net/anime/21/One_Piece,TV (? eps),Oct 1999 -,"2,234,600 members"
Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,182,098 members"
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV (10 eps),Apr 2019 - Jul 2019,"2,155,642 members"
Toradora!,https://myanimelist.net/anime/4224/Toradora,TV (25 eps),Oct 2008 - Mar 2009,"2,147,752 members"
Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,143,095 members"
Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,TV (25 eps),Apr 2016 - Sep 2016,"2,124,188 members"
Boku no Hero Academia 3rd Season,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,TV (25 eps),Apr 2018 - Sep 2018,"2,117,488 members"
Noragami,https://myanimelist.net/anime/20507/Noragami,TV (12 eps),Jan 2014 - Mar 2014,"2,104,901 members"
Angel Beats!,https://myanimelist.net/anime/6547/Angel_Beats,TV (13 eps),Apr 2010 - Jun 2010,"2,030,388 members"
Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,TV (12 eps),Jan 2016 - Mar 2016,"2,026,368 members"
Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,TV (24 eps),Jul 2014 - Dec 2014,"2,026,093 members"
Nanatsu no Taizai,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,TV (24 eps),Oct 2014 - Mar 2015,"2,000,105 members"
Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,TV (12 eps),Jul 2016 - Sep 2016,"1,993,315 members"
Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,TV (26 eps),Oct 2011 - Apr 2012,"1,967,095 members"
Ansatsu Kyoushitsu,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu,TV (22 eps),Jan 2015 - Jun 2015,"1,947,411 members"
Sword Art Online II,https://myanimelist.net/anime/21881/Sword_Art_Online_II,TV (24 eps),Jul 2014 - Dec 2014,"1,925,916 members"
Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,TV (25 eps),Apr 2014 - Sep 2014,"1,901,245 members"
Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,899,170 members"
Bleach,https://myanimelist.net/anime/269/Bleach,TV (366 eps),Oct 2004 - Mar 2012,"1,894,512 members"
Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo,TV (10 eps),Jan 2016 - Mar 2016,"1,892,136 members"
Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV (16 eps),Dec 2020 - Mar 2021,"1,890,118 members"
Ao no Exorcist,https://myanimelist.net/anime/9919/Ao_no_Exorcist,TV (25 eps),Apr 2011 - Oct 2011,"1,875,600 members"
Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,TV (24 eps),Oct 2014 - Mar 2015,"1,808,880 members"
Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,801,670 members"
Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,"1,790,262 members"
Neon Genesis Evangelion,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion,TV (26 eps),Oct 1995 - Mar 1996,"1,751,243 members"
Tokyo Ghoul √A,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,TV (12 eps),Jan 2015 - Mar 2015,"1,728,659 members"
Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,TV (25 eps),Apr 2008 - Sep 2008,"1,724,880 members"
Death Parade,https://myanimelist.net/anime/28223/Death_Parade,TV (12 eps),Jan 2015 - Mar 2015,"1,715,159 members"
Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,709,315 members"
Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,TV (175 eps),Oct 2009 - Mar 2013,"1,698,955 members"
